player,element,assists,bonus,bps,clean_sheets,creativity,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,goals_conceded,goals_scored,ict_index,influence,minutes,own_goals,penalties_missed,penalties_saved,red_cards,saves,selected,starts,threat,total_points,transfers_in,transfers_out,yellow_cards,Involved,price_start,price_end,profit_or_loss,Net Transfers,90s completed,expected_assists_per90,expected_goal_involvements_per90,expected_goals_per90,expected_goals_conceded_per90,goals_per_90,goals_conceded_per_90,saves_per_90,assists_per_90,bonus_points_per_90,full_name,first_name,second_name,now_cost,element_type
Aaron Cresswell,457,1,8,439,6,632.9,2.85,3.21,0.36,32.82,32,0,113.0,411.6,2235,0,0,0,0,0,204687.0,24,81.0,74,457672,564161,3,28,£5.0,£4.7,£-0.3,-106489,24.83333333333333,0.1147651006711409,0.1292617449664429,0.014496644295302,1.3216107382550335,0.0,1.2885906040268458,0.0,0.0402684563758389,0.3221476510067114,Aaron Cresswell,Aaron,Cresswell,47,DEF
Aaron Hickey,510,3,2,310,5,119.8,0.58,0.96,0.38,28.13,30,0,44.2,223.6,1918,0,0,0,0,0,33477.0,23,98.0,63,76845,77735,7,26,£5.0,£4.9,£-0.1,-890,21.31111111111111,0.027215849843587,0.0450469238790406,0.0178310740354535,1.319968717413973,0.0,1.407716371220021,0.0,0.140771637122002,0.0938477580813347,Aaron Hickey,Aaron,Hickey,49,DEF
Aaron Ramsdale,15,0,9,664,14,0.0,0.02,0.02,0.0,42.31,43,0,76.2,761.4,3420,0,0,0,0,94,1273606.0,38,0.0,143,1794560,2095664,1,38,£5.0,£4.8,£-0.2,-301104,38.0,0.0005263157894736,0.0005263157894736,0.0,1.113421052631579,0.0,1.131578947368421,2.473684210526316,0.0,0.2368421052631578,Aaron Ramsdale,Aaron,Ramsdale,48,GK
Aaron Wan-Bissaka,341,0,3,308,8,221.9,0.91,2.1,1.1900000000000002,19.17,10,0,65.5,290.4,1432,0,0,0,0,0,81502.0,16,143.0,67,601062,236479,2,19,£4.5,£4.3,£-0.2,364583,15.911111111111111,0.0571927374301675,0.1319832402234637,0.0747905027932961,1.20481843575419,0.0,0.6284916201117319,0.0,0.0,0.1885474860335195,Aaron Wan-Bissaka,Aaron,Wan-Bissaka,43,DEF
Abdoulaye Doucouré,185,2,10,263,4,261.2,1.52,4.13,2.61,32.1,27,5,80.3,315.8,1527,0,0,0,1,0,9925.0,17,229.0,76,40813,36905,6,25,£5.5,£5.3,£-0.2,3908,16.966666666666665,0.0895874263261296,0.243418467583497,0.1538310412573674,1.8919449901768173,0.2946954813359528,1.5913555992141457,0.0,0.1178781925343811,0.5893909626719057,Abdoulaye Doucouré,Abdoulaye,Doucouré,53,MID
Adam Armstrong,408,1,3,161,1,148.8,0.75,2.98,2.23,24.77,24,2,55.6,142.0,1321,0,0,0,0,0,96519.0,14,275.0,54,262428,290974,2,30,£5.5,£5.3,£-0.2,-28546,14.677777777777775,0.0510976532929598,0.2030280090840272,0.1519303557910673,1.6875851627554883,0.1362604087812263,1.635124905374716,0.0,0.0681302043906131,0.2043906131718395,Adam Armstrong,Adam,Armstrong,53,FWD
Adam Forshaw,224,0,0,78,0,62.0,0.65,0.68,0.03,11.94,13,0,11.3,49.6,473,0,0,0,0,0,4356.0,5,0.0,16,5154,8732,0,12,£4.5,£4.4,£-0.1,-3578,5.255555555555556,0.1236786469344608,0.1293868921775898,0.0057082452431289,2.271881606765328,0.0,2.473572938689218,0.0,0.0,0.0,Adam Forshaw,Adam,Forshaw,44,MID
Adam Lallana,101,1,4,146,5,186.7,1.22,2.1,0.88,10.59,10,2,48.5,144.2,717,0,0,0,0,0,12730.0,12,152.0,47,35004,43834,0,16,£5.0,£4.8,£-0.2,-8830,7.966666666666667,0.1531380753138075,0.2635983263598326,0.1104602510460251,1.3292887029288702,0.2510460251046025,1.2552301255230125,0.0,0.1255230125523012,0.502092050209205,Adam Lallana,Adam,Lallana,48,MID
Adam Smith,57,1,5,400,7,261.6,1.57,2.0700000000000003,0.5,54.01,58,0,75.7,406.2,2940,0,0,0,0,0,20618.0,34,88.0,74,71422,69103,11,37,£4.5,£4.3,£-0.2,2319,32.666666666666664,0.0480612244897959,0.0633673469387755,0.0153061224489795,1.6533673469387755,0.0,1.7755102040816328,0.0,0.0306122448979591,0.1530612244897959,Adam Smith,Adam,Smith,43,DEF
Adam Webster,108,0,3,405,9,104.0,0.45,2.17,1.72,25.8,27,0,58.4,354.0,1983,1,0,0,0,0,60874.0,23,126.0,75,243821,213381,2,27,£4.5,£4.5,£0.0,30440,22.03333333333333,0.0204236006051437,0.0984871406959152,0.0780635400907715,1.1709531013615733,0.0,1.2254160363086233,0.0,0.0,0.1361573373676248,Adam Webster,Adam,Webster,45,DEF
Adama Traoré Diarra,491,4,0,228,2,370.0,3.22,4.6,1.38,29.49,30,2,87.9,253.6,1477,0,0,0,0,0,27132.0,12,258.0,66,75566,70246,2,34,£5.5,£5.3,£-0.2,5320,16.41111111111111,0.1962085308056871,0.2802979011509817,0.0840893703452945,1.7969532836831417,0.1218686526743398,1.828029790115098,0.0,0.2437373053486797,0.0,Adama Traoré Diarra,Adama,Traoré Diarra,53,MID
Adrián San Miguel del Castillo,497,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,72915.0,0,0.0,0,61274,78900,0,0,£4.0,£3.8,£-0.2,-17626,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Adrián San Miguel del Castillo,Adrián,San Miguel del Castillo,38,GK
Ainsley Maitland-Niles,21,1,0,202,3,159.20000000000002,0.76,0.78,0.02,22.2,31,0,46.0,280.2,1400,0,0,0,0,0,4889.0,13,23.0,38,5314,9089,3,22,£5.0,£4.8,£-0.2,-3775,15.555555555555555,0.0488571428571428,0.0501428571428571,0.0012857142857142,1.427142857142857,0.0,1.9928571428571429,0.0,0.0642857142857143,0.0,Ainsley Maitland-Niles,Ainsley,Maitland-Niles,48,MID
Albert Sambi Lokonga,18,0,0,129,2,57.2,0.18,0.35,0.17,8.120000000000001,8,0,17.6,98.4,728,0,0,0,0,0,26660.0,8,20.0,23,34413,48310,2,15,£4.5,£4.3,£-0.2,-13897,8.088888888888889,0.0222527472527472,0.0432692307692307,0.0210164835164835,1.003846153846154,0.0,0.989010989010989,0.0,0.0,0.0,Albert Sambi Lokonga,Albert,Sambi Lokonga,43,MID
Alejandro Garnacho,569,2,0,81,0,58.5,0.95,3.92,2.97,8.02,13,3,47.9,153.79999999999998,557,0,0,0,0,0,61587.0,5,266.0,39,505030,275124,3,19,£4.5,£4.1,£-0.4,229906,6.188888888888889,0.1535008976660682,0.6333931777378815,0.4798922800718133,1.295870736086176,0.4847396768402154,2.1005385996409336,0.0,0.3231597845601436,0.0,Alejandro Garnacho,Alejandro,Garnacho,41,MID
Aleksandar Mitrović,210,2,14,324,7,216.5,1.31,16.62,15.31,35.7,30,14,193.1,584.8,2010,0,4,0,0,0,2227874.0,23,1141.0,107,8480425,7579097,7,24,£6.5,£6.6,£0.1,901328,22.33333333333333,0.0586567164179104,0.744179104477612,0.6855223880597016,1.5985074626865674,0.6268656716417911,1.3432835820895523,0.0,0.0895522388059701,0.6268656716417911,Aleksandar Mitrović,Aleksandar,Mitrović,66,FWD
Alex Iwobi,186,8,9,563,9,917.7,4.3100000000000005,6.87,2.56,66.42,56,2,196.7,682.4,3379,0,0,0,0,0,119391.0,38,366.0,126,913064,580408,2,38,£5.5,£4.9,£-0.6,332656,37.54444444444445,0.1147972773009766,0.1829831311038769,0.0681858538029002,1.7691032849955608,0.0532701982835158,1.4915655519384434,0.0,0.2130807931340633,0.2397158922758212,Alex Iwobi,Alex,Iwobi,49,MID
Alex McCarthy,401,0,0,83,0,0.0,0.0,0.0,0.0,15.16,17,0,8.4,84.2,540,0,0,0,0,14,18989.0,6,0.0,8,8226,23641,0,6,£4.5,£4.3,£-0.2,-15415,6.0,0.0,0.0,0.0,2.526666666666667,0.0,2.833333333333333,2.333333333333333,0.0,0.0,Alex McCarthy,Alex,McCarthy,43,GK
Alex Mighten,395,0,0,1,0,0.3,0.0,0.0,0.0,0.23,0,0,0.0,0.0,7,0,0,0,0,0,1350.0,0,0.0,1,414,2518,0,1,£5.0,£4.9,£-0.1,-2104,0.0777777777777777,0.0,0.0,0.0,2.9571428571428573,0.0,0.0,0.0,0.0,0.0,Alex Mighten,Alex,Mighten,49,MID
Alex Oxlade-Chamberlain,278,0,2,57,0,66.3,0.18,1.45,1.27,6.64,7,1,22.3,72.4,332,0,0,0,0,0,1602.0,4,84.0,20,5069,5534,0,9,£5.0,£4.9,£-0.1,-465,3.688888888888889,0.0487951807228915,0.3930722891566264,0.3442771084337349,1.7999999999999998,0.2710843373493976,1.897590361445783,0.0,0.0,0.5421686746987951,Alex Oxlade-Chamberlain,Alex,Oxlade-Chamberlain,49,MID
Alex Robertson,772,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,7.0,0,0.0,0,14,1,0,0,£4.5,£4.5,£0.0,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Alex Robertson,Alex,Robertson,45,MID
Alex Smithies,581,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,5384.0,0,0.0,0,9262,8065,0,0,£4.0,£3.9,£-0.1,1197,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Alex Smithies,Alex,Smithies,39,GK
Alex Telles,334,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,2518.0,0,0.0,0,0,6396,0,0,£5.0,£5.0,£0.0,-6396,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Alex Telles,Alex,Telles,50,DEF
Alexander Isak,594,2,18,353,4,244.1,1.37,9.48,8.11,18.67,20,10,141.1,475.0,1520,0,0,0,0,0,523679.0,17,693.0,100,4148930,1921838,3,22,£7.0,£7.0,£0.0,2227092,16.88888888888889,0.0811184210526315,0.5613157894736842,0.4801973684210526,1.1054605263157895,0.5921052631578947,1.1842105263157894,0.0,0.1184210526315789,1.0657894736842104,Alexander Isak,Alexander,Isak,70,FWD
Alexandre Moreno Lopera,694,3,5,278,7,321.1,2.57,3.16,0.59,17.83,10,0,72.3,254.4,1325,0,0,0,0,0,142696.0,14,151.0,72,479795,228510,3,19,£4.5,£4.5,£0.0,251285,14.72222222222222,0.174566037735849,0.2146415094339623,0.0400754716981132,1.2110943396226417,0.0,0.679245283018868,0.0,0.2037735849056604,0.339622641509434,Alexandre Moreno Lopera,Alexandre,Moreno Lopera,45,DEF
Alexis Mac Allister,116,2,18,567,10,729.6,4.27,16.32,12.05,40.48,45,10,217.8,741.0,2882,1,0,0,0,0,662817.0,31,706.0,140,4675372,1746724,8,35,£5.5,£5.6,£0.1,2928648,32.022222222222226,0.1333448993754337,0.5096460791117279,0.3763011797362942,1.26412213740458,0.3122831367106176,1.4052741151977792,0.0,0.0624566273421235,0.5621096460791116,Alexis Mac Allister,Alexis,Mac Allister,56,MID
Alfie Devine,452,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,9363.0,0,0.0,0,8346,12829,0,0,£4.5,£4.3,£-0.2,-4483,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Alfie Devine,Alfie,Devine,43,MID
Alfie Gilchrist,775,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,30.0,0,0.0,0,72,5,0,0,£4.0,£4.0,£0.0,67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Alfie Gilchrist,Alfie,Gilchrist,40,DEF
Alisson Ramses Becker,281,1,15,824,14,10.1,0.02,0.02,0.0,50.02,43,0,97.6,966.4,3330,0,0,1,0,107,1662512.0,37,0.0,162,2464617,2276182,1,37,£5.5,£5.5,£0.0,188435,37.0,0.0005405405405405,0.0005405405405405,0.0,1.351891891891892,0.0,1.162162162162162,2.891891891891892,0.027027027027027,0.4054054054054054,Alisson Ramses Becker,Alisson,Ramses Becker,55,GK
Allan Marques Loureiro,183,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,7300.0,0,0.0,0,4287,15524,0,0,£5.0,£4.8,£-0.2,-11237,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Allan Marques Loureiro,Allan,Marques Loureiro,48,MID
Allan Saint-Maximin,368,6,4,240,4,344.1,2.59,4.19,1.6,13.91,14,1,98.2,266.4,1109,0,0,0,0,0,452713.0,12,370.0,66,1081082,1495419,1,25,£6.5,£6.1,£-0.4,-414337,12.322222222222225,0.2101893597835888,0.3400360685302073,0.1298467087466185,1.128854824165915,0.0811541929666366,1.1361587015329124,0.0,0.4869251577998196,0.3246167718665464,Allan Saint-Maximin,Allan,Saint-Maximin,61,MID
Alphonse Areola,473,0,0,42,0,0.0,0.0,0.0,0.0,7.630000000000001,7,0,6.8,69.4,307,0,0,0,0,9,110286.0,2,0.0,7,78804,137084,0,5,£4.5,£4.3,£-0.2,-58280,3.411111111111111,0.0,0.0,0.0,2.2368078175895767,0.0,2.052117263843648,2.638436482084691,0.0,0.0,Alphonse Areola,Alphonse,Areola,43,GK
Amad Diallo,550,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,6447.0,0,0.0,0,5075,15209,0,0,£4.5,£4.4,£-0.1,-10134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Amad Diallo,Amad,Diallo,44,MID
Amadou Onana,577,3,2,300,9,295.1,1.66,4.61,2.95,47.89,37,1,92.0,347.2,2486,0,0,0,0,0,17932.0,29,280.0,77,73221,62037,9,33,£5.0,£4.7,£-0.3,11184,27.622222222222224,0.060096540627514,0.1668946098149638,0.1067980691874497,1.7337489943684634,0.0362027353177795,1.3395012067578438,0.0,0.1086082059533386,0.0724054706355591,Amadou Onana,Amadou,Onana,47,MID
Amario Cozier-Duberry,668,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,226.0,0,0.0,0,544,277,0,0,£4.5,£4.5,£0.0,267,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Amario Cozier-Duberry,Amario,Cozier-Duberry,45,MID
Andreas Hoelgebaum Pereira,346,10,9,360,8,965.0,4.26,11.42,7.16,47.49,40,4,189.3,440.6,2696,0,0,0,0,0,2139922.0,33,495.0,123,3563426,4435244,8,33,£4.5,£4.3,£-0.2,-871818,29.95555555555556,0.1422106824925816,0.3812314540059347,0.2390207715133531,1.5853486646884274,0.1335311572700296,1.3353115727002969,0.0,0.3338278931750741,0.3004451038575668,Andreas Hoelgebaum Pereira,Andreas,Hoelgebaum Pereira,43,MID
Andrew Moran,651,0,0,3,0,0.0,0.0,0.0,0.0,0.82,1,0,0.0,0.0,11,0,0,0,0,0,639.0,0,0.0,1,2044,1488,0,1,£4.5,£4.5,£0.0,556,0.1222222222222222,0.0,0.0,0.0,6.709090909090909,0.0,8.181818181818182,0.0,0.0,0.0,Andrew Moran,Andrew,Moran,45,MID
Andrew Robertson,284,8,10,633,9,862.1,6.69,7.93,1.24,36.59,34,0,162.3,549.2,2579,0,0,0,0,0,672931.0,29,211.0,121,2157176,2021456,3,34,£7.0,£6.8,£-0.2,135720,28.655555555555555,0.2334625823962776,0.2767351686700271,0.0432725862737495,1.2768902675455605,0.0,1.1865063978286157,0.0,0.2791779759596743,0.3489724699495928,Andrew Robertson,Andrew,Robertson,68,DEF
Andrey Nascimento dos Santos,702,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,224.0,0,0.0,0,445,424,0,0,£4.5,£4.5,£0.0,21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Andrey Nascimento dos Santos,Andrey,Nascimento dos Santos,45,MID
Andros Townsend,179,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,657.0,0,0.0,0,1410,1473,0,0,£5.5,£5.4,£-0.1,-63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Andros Townsend,Andros,Townsend,54,MID
André Ayew,734,0,0,27,0,17.1,0.03,1.09,1.06,7.41,10,0,10.5,34.0,306,0,1,0,0,0,701.0,1,53.0,11,1848,1452,1,13,£5.0,£5.0,£0.0,396,3.4,0.0088235294117647,0.3205882352941177,0.3117647058823529,2.1794117647058826,0.0,2.9411764705882355,0.0,0.0,0.0,André Ayew,André,Ayew,50,MID
André Tavares Gomes,184,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,6806.0,0,0.0,0,1409,16502,0,0,£4.5,£4.5,£0.0,-15093,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,André Tavares Gomes,André,Tavares Gomes,45,MID
Andy Lonergan,760,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,112.0,0,0.0,0,180,83,0,0,£4.0,£4.0,£0.0,97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Andy Lonergan,Andy,Lonergan,40,GK
Angelo Ogbonna,456,0,4,217,4,35.2,0.0699999999999999,0.33,0.26,20.42,19,0,27.4,212.8,1234,0,0,0,0,0,8050.0,13,24.0,44,12237,15816,0,16,£4.5,£4.4,£-0.1,-3579,13.71111111111111,0.0051053484602917,0.0240680713128038,0.0189627228525121,1.4893030794165316,0.0,1.3857374392220425,0.0,0.0,0.2917341977309562,Angelo Ogbonna,Angelo,Ogbonna,44,DEF
Anthony Elanga,344,1,0,53,2,78.8,0.98,1.63,0.65,4.79,2,0,28.7,52.400000000000006,417,0,0,0,0,0,50935.0,5,162.0,23,74073,121338,0,16,£5.0,£4.6,£-0.4,-47265,4.633333333333334,0.2115107913669064,0.3517985611510791,0.1402877697841726,1.0338129496402877,0.0,0.4316546762589928,0.0,0.2158273381294964,0.0,Anthony Elanga,Anthony,Elanga,46,MID
Anthony Gordon,195,0,5,186,4,215.3,1.29,6.02,4.73,25.18,18,4,99.8,265.6,1574,0,0,0,0,0,169962.0,16,517.0,68,653554,738912,7,32,£5.5,£5.1,£-0.4,-85358,17.488888888888887,0.0737611181702668,0.3442185514612452,0.2704574332909784,1.4397712833545109,0.2287166454891995,1.0292249047013975,0.0,0.0,0.2858958068614994,Anthony Gordon,Anthony,Gordon,51,MID
Anthony Knockaert,202,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,2504.0,0,0.0,0,1126,4898,0,0,£5.0,£4.7,£-0.3,-3772,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Anthony Knockaert,Anthony,Knockaert,47,MID
Anthony Martial,345,3,4,230,7,179.0,1.46,7.49,6.03,13.57,8,6,85.4,305.20000000000005,970,0,0,0,0,0,214214.0,11,376.0,66,2000456,1693229,0,21,£7.0,£6.3,£-0.7,307227,10.77777777777778,0.1354639175257732,0.6949484536082474,0.5594845360824742,1.2590721649484535,0.556701030927835,0.7422680412371133,0.0,0.2783505154639175,0.3711340206185566,Anthony Martial,Anthony,Martial,63,FWD
Antoine Semenyo,714,0,1,56,0,26.5,0.02,0.38,0.36,7.7,6,1,10.7,50.0,250,0,0,0,0,0,2423.0,2,32.0,18,6549,5016,0,11,£5.0,£5.0,£0.0,1533,2.7777777777777777,0.0072,0.1368,0.1296,2.772,0.36,2.16,0.0,0.0,0.36,Antoine Semenyo,Antoine,Semenyo,50,FWD
Antonee Robinson,217,2,5,558,9,417.6,1.6800000000000002,1.75,0.07,55.11,44,0,102.9,553.0,3088,0,0,0,0,0,33469.0,35,57.0,93,153893,104479,8,35,£4.5,£4.4,£-0.1,49414,34.31111111111111,0.0489637305699481,0.0510038860103626,0.0020401554404145,1.606185233160622,0.0,1.2823834196891193,0.0,0.0582901554404145,0.1457253886010363,Antonee Robinson,Antonee,Robinson,44,DEF
Antony Matheus dos Santos,609,2,4,262,12,421.0,2.42,9.07,6.65,25.37,21,4,137.1,322.0,1803,0,0,0,0,0,477169.0,23,633.0,82,1575700,1535711,5,25,£7.5,£7.3,£-0.2,39989,20.03333333333333,0.1207986688851913,0.4527454242928452,0.3319467554076539,1.2663893510815307,0.1996672212978369,1.048252911813644,0.0,0.0998336106489184,0.1996672212978369,Antony Matheus dos Santos,Antony Matheus,dos Santos,73,MID
Anwar El Ghazi,51,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,4450.0,0,0.0,0,2511,12438,0,0,£5.0,£4.8,£-0.2,-9927,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Anwar El Ghazi,Anwar,El Ghazi,48,MID
Archie Gray,565,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,4562.0,0,0.0,0,8377,9621,0,0,£4.5,£4.5,£0.0,-1244,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Archie Gray,Archie,Gray,45,MID
Armando Broja,150,1,0,56,1,18.200000000000003,0.06,0.9,0.8400000000000001,4.49,5,1,19.7,64.6,285,0,0,0,0,0,52114.0,2,113.0,21,72331,173210,0,12,£5.5,£5.2,£-0.3,-100879,3.1666666666666665,0.0189473684210526,0.2842105263157894,0.2652631578947368,1.417894736842105,0.3157894736842105,1.5789473684210529,0.0,0.3157894736842105,0.0,Armando Broja,Armando,Broja,52,FWD
Armel Bella-Kotchap,423,2,5,345,3,76.4,0.44,1.49,1.05,35.93,39,0,60.6,422.4,1881,0,0,0,0,0,18142.0,24,105.0,49,51125,50263,4,24,£4.5,£4.5,£0.0,862,20.9,0.0210526315789473,0.0712918660287081,0.0502392344497607,1.7191387559808613,0.0,1.8660287081339717,0.0,0.0956937799043062,0.2392344497607655,Armel Bella-Kotchap,Armel,Bella-Kotchap,45,DEF
Armstrong Oko-Flex,572,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,3456.0,0,0.0,0,6413,7534,0,0,£4.5,£4.4,£-0.1,-1121,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Armstrong Oko-Flex,Armstrong,Oko-Flex,44,MID
Arnaut Danjuma,713,0,0,43,0,25.1,0.07,0.91,0.8400000000000001,2.31,5,1,14.8,53.2,162,0,0,0,0,0,3449.0,1,71.0,15,9274,6858,0,9,£6.5,£6.1,£-0.4,2416,1.8,0.0388888888888888,0.5055555555555555,0.4666666666666667,1.2833333333333334,0.5555555555555556,2.7777777777777777,0.0,0.0,0.0,Arnaut Danjuma,Arnaut,Danjuma,61,MID
Arthur Henrique Ramos de Oliveira Melo,620,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,2841.0,0,0.0,0,3706,6239,0,0,£5.0,£4.8,£-0.2,-2533,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Arthur Henrique Ramos de Oliveira Melo,Arthur Henrique,Ramos de Oliveira Melo,48,MID
Arthur Masuaku,462,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,903.0,0,0.0,0,0,2214,0,0,£4.5,£4.5,£0.0,-2214,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Arthur Masuaku,Arthur,Masuaku,45,DEF
Ashley Young,538,0,8,388,9,223.4,0.78,1.24,0.46,31.81,28,1,68.7,380.2,2031,0,0,0,0,0,75456.0,23,81.0,87,267562,208712,7,29,£4.5,£4.3,£-0.2,58850,22.566666666666663,0.0345642540620384,0.0549483013293943,0.0203840472673559,1.4096011816838996,0.0443131462333825,1.240768094534712,0.0,0.0,0.3545051698670605,Ashley Young,Ashley,Young,43,DEF
Asmir Begović,176,0,2,30,1,0.0,0.0,0.0,0.0,1.04,0,0,3.6,36.0,90,0,0,0,0,4,94269.0,1,0.0,9,149297,137760,0,1,£4.0,£3.8,£-0.2,11537,1.0,0.0,0.0,0.0,1.04,0.0,0.0,4.0,0.0,2.0,Asmir Begović,Asmir,Begović,38,GK
Aymeric Laporte,309,0,3,210,4,107.8,0.44,0.93,0.49,11.77,10,0,34.1,166.2,992,0,0,0,0,0,50190.0,11,68.0,40,136927,148692,0,12,£6.0,£5.6,£-0.4,-11765,11.022222222222222,0.0399193548387096,0.084375,0.0444556451612903,1.067842741935484,0.0,0.907258064516129,0.0,0.0,0.2721774193548387,Aymeric Laporte,Aymeric,Laporte,56,DEF
Ayoze Pérez,260,2,0,69,1,151.0,0.57,1.62,1.0499999999999998,5.51,5,0,30.9,65.2,378,0,0,0,0,0,9413.0,3,92.0,19,9480,18353,0,8,£5.0,£4.7,£-0.3,-8873,4.2,0.1357142857142857,0.3857142857142857,0.2499999999999999,1.311904761904762,0.0,1.1904761904761905,0.0,0.4761904761904761,0.0,Ayoze Pérez,Ayoze,Pérez,47,MID
Bashir Humphreys,673,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,332.0,0,0.0,0,410,473,0,0,£4.5,£4.5,£0.0,-63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Bashir Humphreys,Bashir,Humphreys,45,DEF
Ben Chilwell,139,3,4,302,4,382.6,2.49,4.06,1.57,18.25,19,2,84.2,283.4,1402,0,0,0,0,0,457443.0,15,178.0,70,1958708,1662987,3,23,£6.0,£5.6,£-0.4,295721,15.577777777777778,0.1598430813124108,0.2606276747503566,0.1007845934379458,1.171540656205421,0.1283880171184022,1.2196861626248217,0.0,0.1925820256776034,0.2567760342368045,Ben Chilwell,Ben,Chilwell,56,DEF
Ben Davies,432,3,3,470,9,276.9,1.47,2.48,1.01,26.59,33,2,85.8,407.8,2284,0,0,0,0,0,126080.0,26,172.0,99,384209,385022,4,31,£5.0,£4.7,£-0.3,-813,25.377777777777776,0.0579246935201401,0.097723292469352,0.0397985989492119,1.0477670753064798,0.0788091068301226,1.300350262697023,0.0,0.1182136602451839,0.1182136602451839,Ben Davies,Ben,Davies,40,DEF
Ben Davies,432,3,3,470,9,276.9,1.47,2.48,1.01,26.59,33,2,85.8,407.8,2284,0,0,0,0,0,126080.0,26,172.0,99,384209,385022,4,31,£5.0,£4.7,£-0.3,-813,25.377777777777776,0.0579246935201401,0.097723292469352,0.0397985989492119,1.0477670753064798,0.0788091068301226,1.300350262697023,0.0,0.1182136602451839,0.1182136602451839,Ben Davies,Ben,Davies,47,DEF
Ben Davies,499,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,509.0,0,0.0,0,0,554,0,0,£4.0,£4.0,£0.0,-554,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Ben Davies,Ben,Davies,40,DEF
Ben Davies,499,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,509.0,0,0.0,0,0,554,0,0,£4.0,£4.0,£0.0,-554,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Ben Davies,Ben,Davies,47,DEF
