player,element,assists,bonus,bps,clean_sheets,creativity,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,goals_conceded,goals_scored,ict_index,influence,minutes,own_goals,penalties_missed,penalties_saved,red_cards,saves,selected,starts,threat,total_points,transfers_in,transfers_out,yellow_cards,Involved,price_start,price_end,profit_or_loss,Net Transfers,90s completed,expected_assists_per90,expected_goal_involvements_per90,expected_goals_per90,expected_goals_conceded_per90,goals_per_90,goals_conceded_per_90,saves_per_90,assists_per_90,bonus_points_per_90,full_name,first_name,second_name,now_cost,element_type
Emiliano Buendía Stati,42,3,8,370,11,546.3,3.95,10.27,6.32,36.65,34,5,156.6,438.2,2404,0,0,0,0,0,65593.0,27,580.0,117,286209,269181,0,38,£6.0,£5.7,£-0.3,17028,26.711111111111112,0.1478785357737105,0.3844841930116472,0.2366056572379367,1.3720881863560732,0.1871880199667221,1.2728785357737105,0.0,0.1123128119800332,0.2995008319467554,Emiliano Buendía Stati,Emiliano,Buendía Stati,57,MID
Emiliano Marcondes,63,0,0,3,0,0.0,0.0,0.0,0.0,0.28,1,0,0.1,1.2,8,0,0,0,0,0,1791.0,0,0.0,1,946,2487,0,1,£5.0,£4.7,£-0.3,-1541,0.0888888888888888,0.0,0.0,0.0,3.1500000000000004,0.0,11.25,0.0,0.0,0.0,Emiliano Marcondes,Emiliano,Marcondes,47,MID
Emiliano Martínez Romero,31,0,15,678,11,23.0,0.21,0.21,0.0,43.46,38,0,83.5,813.0,3139,1,0,1,0,98,565453.0,36,0.0,135,1098021,1026678,7,36,£5.0,£5.0,£0.0,71343,34.87777777777778,0.0060210258043963,0.0060210258043963,0.0,1.2460656259955398,0.0,1.089518955081236,2.8098120420516084,0.0,0.4300732717425931,Emiliano Martínez Romero,Emiliano,Martínez Romero,50,GK
Emmanuel Dennis,585,2,3,113,1,96.8,0.4,2.13,1.73,13.59,17,2,54.6,166.4,709,0,0,0,0,0,13574.0,6,286.0,39,58332,54458,3,19,£6.0,£5.6,£-0.4,3874,7.877777777777778,0.0507757404795486,0.2703808180535966,0.2196050775740479,1.7251057827926657,0.2538787023977433,2.157968970380818,0.0,0.2538787023977433,0.3808180535966149,Emmanuel Dennis,Emmanuel,Dennis,56,FWD
Enock Mwepu,118,1,0,29,0,39.0,0.24,0.46,0.22,2.77,4,0,12.2,48.8,209,0,0,0,0,0,6419.0,2,34.0,11,3691,14965,0,6,£5.5,£5.3,£-0.2,-11274,2.3222222222222224,0.1033492822966507,0.1980861244019138,0.0947368421052631,1.192822966507177,0.0,1.7224880382775118,0.0,0.4306220095693779,0.0,Enock Mwepu,Enock,Mwepu,53,MID
Enzo Fernández,724,2,1,265,3,307.3,2.64,3.42,0.78,24.91,25,0,67.1,298.2,1547,0,0,0,0,0,123921.0,18,64.0,42,344937,235692,3,18,£5.0,£5.0,£0.0,109245,17.18888888888889,0.1535875888817065,0.1989657401422107,0.0453781512605042,1.449191984486102,0.0,1.4544279250161605,0.0,0.1163542340012928,0.0581771170006464,Enzo Fernández,Enzo,Fernández,50,MID
Eric Bailly,339,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,55100.0,0,0.0,0,20468,139601,0,0,£4.0,£4.0,£0.0,-119133,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Eric Bailly,Eric,Bailly,40,DEF
Eric Dier,430,1,5,569,9,112.3,0.55,2.31,1.76,43.12,52,2,100.1,653.2,2816,0,0,0,0,0,729253.0,31,235.0,96,1660604,1621143,3,33,£5.0,£5.0,£0.0,39461,31.288888888888888,0.017578125,0.073828125,0.05625,1.378125,0.0639204545454545,1.6619318181818183,0.0,0.0319602272727272,0.1598011363636363,Eric Dier,Eric,Dier,50,DEF
Erling Haaland,318,9,40,1040,13,371.0,3.11,31.65,28.54,25.24,26,36,358.1,1390.0,2767,0,0,0,0,0,8656127.0,33,1825.0,272,7882481,2870781,5,35,£11.5,£12.4,£0.9,5011700,30.744444444444444,0.1011564871702204,1.0294542826165525,0.9282977954463316,0.8209613299602457,1.170943259848211,0.845681243223708,0.0,0.2927358149620527,1.3010480664980124,Erling Haaland,Erling,Haaland,124,FWD
Ethan Ampadu,151,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,4804.0,0,0.0,0,1467,6813,0,0,£4.5,£4.4,£-0.1,-5346,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Ethan Ampadu,Ethan,Ampadu,44,DEF
Ethan Nwaneri,630,0,0,3,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,1,0,0,0,0,0,880.0,0,0.0,1,1683,1394,0,1,£4.5,£4.5,£0.0,289,0.0111111111111111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Ethan Nwaneri,Ethan,Nwaneri,45,MID
Ethan Pinnock,92,0,6,575,10,104.9,1.11,3.84,2.73,40.17,34,3,113.8,751.6,2700,1,0,0,0,0,53053.0,30,279.0,112,332178,175729,0,30,£4.5,£4.4,£-0.1,156449,30.0,0.037,0.128,0.091,1.339,0.1,1.1333333333333333,0.0,0.0,0.2,Ethan Pinnock,Ethan,Pinnock,44,DEF
Ethan Wady,771,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,30.0,0,0.0,0,75,13,0,0,£4.0,£4.0,£0.0,62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Ethan Wady,Ethan,Wady,40,GK
Euan Pollock,706,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,1360.0,0,0.0,0,4315,3246,0,0,£4.5,£4.5,£0.0,1069,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Euan Pollock,Euan,Pollock,45,FWD
Evan Ferguson,596,2,8,213,6,129.1,0.54,5.98,5.44,13.45,12,6,76.5,284.2,942,0,0,0,0,0,123091.0,10,350.0,65,721233,396396,1,19,£4.5,£4.6,£0.1,324837,10.466666666666669,0.051592356687898,0.5713375796178344,0.5197452229299363,1.2850318471337578,0.5732484076433121,1.1464968152866242,0.0,0.1910828025477706,0.7643312101910827,Evan Ferguson,Evan,Ferguson,46,FWD
Ezri Konsa Ngoyo,44,0,6,633,12,116.1,0.71,1.79,1.08,50.67,45,0,74.9,560.4,3322,0,0,0,0,0,52583.0,37,72.0,110,218989,139253,6,38,£4.5,£4.4,£-0.1,79736,36.91111111111111,0.0192354003612281,0.0484948826008428,0.0292594822396146,1.372757375075256,0.0,1.2191450933172787,0.0,0.0,0.1625526791089705,Ezri Konsa Ngoyo,Ezri,Konsa Ngoyo,44,DEF
Fabian Schär,366,3,6,617,15,263.9,2.0500000000000003,6.68,4.63,36.65,28,1,144.1,653.4,3207,1,0,0,0,0,1343628.0,36,521.0,139,4006861,2492855,7,36,£4.5,£5.1,£0.6,1514006,35.63333333333333,0.0575304022450888,0.1874649204864359,0.129934518241347,1.028531337698784,0.0280636108512628,0.7857811038353602,0.0,0.0841908325537885,0.1683816651075771,Fabian Schär,Fabian,Schär,51,DEF
Fabio Henrique Tavares,282,2,0,394,11,302.0,1.87,2.57,0.7,39.21,34,0,79.0,379.2,2666,0,0,0,0,0,92413.0,31,109.0,70,107616,153399,11,36,£5.5,£5.2,£-0.3,-45783,29.622222222222224,0.0631282820705176,0.0867591897974493,0.0236309077269317,1.323668417104276,0.0,1.147786946736684,0.0,0.0675168792198049,0.0,Fabio Henrique Tavares,Fabio Henrique,Tavares,52,MID
Fabio Silva,488,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,2052.0,0,0.0,0,0,3263,0,0,£5.5,£5.5,£0.0,-3263,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Fabio Silva,Fabio,Silva,55,FWD
Facundo Buonanotte,679,1,2,72,1,96.1,0.39,1.69,1.3,11.93,12,1,27.8,87.8,558,0,0,0,0,0,2924.0,6,102.0,26,24782,8915,2,13,£4.5,£4.5,£0.0,15867,6.2,0.0629032258064516,0.2725806451612903,0.2096774193548387,1.9241935483870969,0.1612903225806451,1.9354838709677415,0.0,0.1612903225806451,0.3225806451612903,Facundo Buonanotte,Facundo,Buonanotte,45,MID
Facundo Pellistri Rebollo,347,0,0,14,0,1.7,0.02,0.02,0.0,0.7799999999999999,1,0,0.6,3.2,60,0,0,0,0,0,3116.0,0,2.0,4,4223,7379,0,4,£4.5,£4.3,£-0.2,-3156,0.6666666666666666,0.03,0.03,0.0,1.17,0.0,1.5,0.0,0.0,0.0,Facundo Pellistri Rebollo,Facundo,Pellistri Rebollo,43,MID
Federico Fernández,351,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,2653.0,0,0.0,0,638,5256,0,0,£4.5,£4.4,£-0.1,-4618,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Federico Fernández,Federico,Fernández,44,DEF
Felipe Augusto de Almeida Monteiro,730,1,3,233,1,79.5,1.15,2.35,1.2,31.83,32,0,59.0,379.0,1417,0,0,0,0,0,3933.0,15,130.0,25,13501,8677,4,16,£4.5,£4.5,£0.0,4824,15.744444444444444,0.0730416372618207,0.1492589978828511,0.0762173606210303,2.02166549047283,0.0,2.0324629498941427,0.0,0.0635144671841919,0.1905434015525758,Felipe Augusto de Almeida Monteiro,Felipe Augusto,de Almeida Monteiro,45,DEF
Filip Marschall,670,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,624.0,0,0.0,0,1138,997,0,0,£4.0,£4.0,£0.0,141,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Filip Marschall,Filip,Marschall,40,GK
Fin Stevens,540,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,17223.0,0,0.0,0,11638,25739,0,0,£4.0,£4.0,£0.0,-14101,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Fin Stevens,Fin,Stevens,40,DEF
Flynn Downes,509,0,0,104,1,28.9,0.11,0.5399999999999999,0.43,13.53,14,0,13.4,55.8,752,0,0,0,0,0,34060.0,7,51.0,27,56519,68540,2,21,£4.5,£4.2,£-0.3,-12021,8.355555555555556,0.0131648936170212,0.064627659574468,0.0514627659574468,1.619281914893617,0.0,1.675531914893617,0.0,0.0,0.0,Flynn Downes,Flynn,Downes,42,MID
Francisco Jorge Tomás Oliveira,490,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,408.0,0,0.0,0,1374,1383,0,0,£5.0,£5.0,£0.0,-9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Francisco Jorge Tomás Oliveira,Francisco Jorge,Tomás Oliveira,50,MID
Frank Onyeka,93,3,0,111,3,89.9,0.78,1.81,1.03,15.65,11,0,32.300000000000004,125.8,837,0,0,0,0,0,3666.0,8,106.0,38,4326,6312,0,21,£5.0,£4.8,£-0.2,-1986,9.3,0.0838709677419354,0.1946236559139784,0.110752688172043,1.682795698924731,0.0,1.182795698924731,0.0,0.3225806451612903,0.0,Frank Onyeka,Frank,Onyeka,48,MID
Fraser Forster,426,0,1,222,3,0.0,0.0,0.0,0.0,19.21,24,0,25.8,256.8,1215,0,0,1,0,32,460480.0,13,0.0,40,376354,460760,1,14,£4.0,£3.9,£-0.1,-84406,13.5,0.0,0.0,0.0,1.422962962962963,0.0,1.7777777777777777,2.3703703703703702,0.0,0.074074074074074,Fraser Forster,Fraser,Forster,39,GK
Frederico Rodrigues de Paula Santos,331,3,2,272,4,335.9,1.77,3.8,2.03,21.86,22,2,83.0,282.2,1228,0,0,0,0,0,52925.0,12,213.0,62,61773,120888,6,35,£5.5,£5.1,£-0.4,-59115,13.644444444444444,0.1297231270358306,0.2785016286644951,0.1487785016286645,1.6021172638436485,0.1465798045602606,1.6123778501628665,0.0,0.2198697068403909,0.1465798045602606,Frederico Rodrigues de Paula Santos,Frederico,Rodrigues de Paula Santos,51,MID
Frédéric Guilbert,56,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,78478.0,0,0.0,0,67390,106023,0,0,£4.0,£3.9,£-0.1,-38633,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Frédéric Guilbert,Frédéric,Guilbert,39,DEF
Fábio Ferreira Vieira,25,2,2,134,2,180.1,1.39,2.25,0.86,5.28,5,1,41.4,115.2,500,0,0,0,0,0,14432.0,3,123.0,40,20496,30149,0,22,£6.0,£5.6,£-0.4,-9653,5.555555555555555,0.2502,0.405,0.1548,0.9504,0.18,0.9,0.0,0.36,0.36,Fábio Ferreira Vieira,Fábio,Ferreira Vieira,56,MID
Fábio Freitas Gouveia Carvalho,296,1,0,80,0,36.7,0.25,1.36,1.11,5.01,3,2,29.7,89.39999999999999,339,0,0,0,0,0,36927.0,4,173.0,27,116040,106812,0,13,£5.5,£5.1,£-0.4,9228,3.7666666666666666,0.0663716814159292,0.3610619469026549,0.2946902654867256,1.3300884955752212,0.5309734513274337,0.7964601769911505,0.0,0.2654867256637168,0.0,Fábio Freitas Gouveia Carvalho,Fábio,Freitas Gouveia Carvalho,51,MID
Gabriel Fernando de Jesus,28,7,17,401,9,407.3,2.91,17.15,14.24,23.15,23,11,228.3,594.2,2064,0,0,0,0,0,4578979.0,24,1282.0,125,3672433,7192322,6,26,£8.0,£8.1,£0.1,-3519889,22.933333333333334,0.1268895348837209,0.7478197674418604,0.6209302325581395,1.0094476744186045,0.4796511627906977,1.002906976744186,0.0,0.3052325581395348,0.7412790697674418,Gabriel Fernando de Jesus,Gabriel,Fernando de Jesus,81,FWD
Gabriel Martinelli Silva,19,9,18,648,14,838.1,6.98,16.13,9.15,36.16,33,15,298.1,844.2,2789,0,0,0,0,0,4425979.0,34,1300.0,198,7678562,7751291,3,36,£6.0,£6.5,£0.5,-72729,30.988888888888887,0.22524202223019,0.5205091430620294,0.2952671208318394,1.1668698458228757,0.4840444603800645,1.0648978128361422,0.0,0.2904266762280387,0.5808533524560775,Gabriel Martinelli Silva,Gabriel,Martinelli Silva,65,MID
