player,element,assists,bonus,bps,clean_sheets,creativity,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,goals_conceded,goals_scored,ict_index,influence,minutes,own_goals,penalties_missed,penalties_saved,red_cards,saves,selected,starts,threat,total_points,transfers_in,transfers_out,yellow_cards,Involved,price_start,price_end,profit_or_loss,Net Transfers,90s completed,expected_assists_per90,expected_goal_involvements_per90,expected_goals_per90,expected_goals_conceded_per90,goals_per_90,goals_conceded_per_90,saves_per_90,assists_per_90,bonus_points_per_90,full_name,first_name,second_name,now_cost,element_type,goals_conceded_per90,projected_points_per_90
Jack Grealish,305,10,9,490,10,721.3,6.74,11.24,4.5,14.46,16,5,191.7,515.8,2051,0,0,0,0,0,516636.0,23,683.0,121,3103163,2277117,4,28,£7.0,£7.1,£0.1,826046,22.788888888888888,0.2957581667479279,0.4932228181374939,0.197464651389566,0.634519746465139,0.2194051682106289,0.7020965382740127,0.0,0.4388103364212579,0.3949293027791321,Jack Grealish,Jack,Grealish,£7.1,MID,0.7020965382740127,4.144027303754266
Jack Harrison,233,8,15,403,6,791.5,5.06,10.5,5.44,49.47,55,5,181.2,556.2,2707,1,0,0,0,0,262673.0,34,466.0,134,1196361,930966,2,36,£6.0,£5.7,£-0.3,265395,30.07777777777778,0.1682305134835611,0.3490949390469154,0.1808644255633542,1.6447358699667527,0.1662356852604359,1.828592537864795,0.0,0.2659770964166974,0.4987070557813077,Jack Harrison,Jack,Harrison,£5.7,MID,1.828592537864795,3.5190616919098634
Jack Stephens,404,0,1,233,4,57.3,0.23,0.59,0.36,24.62,24,0,38.0,270.0,1218,0,0,0,0,0,5246.0,13,51.0,35,7569,9990,3,17,£4.5,£4.3,£-0.2,-2421,13.533333333333331,0.0169950738916256,0.0435960591133004,0.0266009852216748,1.8192118226600984,0.0,1.7733990147783252,0.0,0.0,0.0738916256157635,Jack Stephens,Jack,Stephens,£4.3,DEF,1.7733990147783252,2.769112593740538
Jacob Murphy,365,2,2,240,3,302.5,2.95,6.41,3.46,16.13,12,4,98.9,275.0,1230,0,0,0,0,0,367388.0,14,410.0,78,738671,946118,0,36,£4.5,£4.2,£-0.3,-207447,13.666666666666666,0.2158536585365854,0.4690243902439024,0.2531707317073171,1.1802439024390243,0.2926829268292683,0.8780487804878049,0.0,0.1463414634146341,0.1463414634146341,Jacob Murphy,Jacob,Murphy,£4.2,MID,0.8780487804878049,3.907926829268293
Jacob Ramsey,47,8,13,470,11,496.7,2.89,7.96,5.07,40.5,33,6,152.8,607.2,2634,1,0,0,0,0,108477.0,31,424.0,135,352030,383760,5,35,£5.5,£5.1,£-0.4,-31730,29.266666666666666,0.0987471526195899,0.2719817767653759,0.1732346241457859,1.3838268792710706,0.2050113895216401,1.1275626423690206,0.0,0.2733485193621868,0.4441913439635535,Jacob Ramsey,Jacob,Ramsey,£5.1,MID,1.1275626423690206,3.50375854214123
Jadon Sancho,340,3,8,375,13,543.9,4.13,8.15,4.0200000000000005,24.95,18,6,131.7,390.6,1683,0,0,0,0,0,430429.0,21,382.0,105,630539,1255026,0,26,£7.5,£7.1,£-0.4,-624487,18.7,0.220855614973262,0.4358288770053476,0.2149732620320855,1.3342245989304813,0.320855614973262,0.9625668449197862,0.0,0.160427807486631,0.427807486631016,Jadon Sancho,Jadon,Sancho,£7.1,MID,0.9625668449197862,3.911497326203208
Jaidon Anthony,75,1,4,193,2,209.1,1.1,2.79,1.69,26.14,29,3,77.2,299.4,1241,0,0,0,0,0,7912.0,11,263.0,61,12707,18026,2,30,£5.5,£5.2,£-0.3,-5319,13.78888888888889,0.0797743755036261,0.2023368251410153,0.1225624496373891,1.8957292506043515,0.217566478646253,2.103142626913779,0.0,0.072522159548751,0.290088638195004,Jaidon Anthony,Jaidon,Anthony,£5.2,MID,2.103142626913779,3.0787671232876708
James Garner,570,1,0,109,2,114.6,0.5,1.2,0.7,15.66,13,0,26.5,90.4,796,0,0,0,0,0,4787.0,7,57.0,25,12488,11366,3,16,£4.5,£4.5,£0.0,1122,8.844444444444445,0.0565326633165829,0.1356783919597989,0.079145728643216,1.7706030150753769,0.0,1.4698492462311556,0.0,0.1130653266331658,0.0,James Garner,James,Garner,£4.5,MID,1.4698492462311556,2.452261306532663
James Justin,268,2,2,263,5,138.8,0.49,0.8,0.31,21.31,25,0,38.7,208.4,1252,0,0,0,0,0,92938.0,14,40.0,45,288486,387570,0,14,£4.5,£4.1,£-0.4,-99084,13.911111111111111,0.0352236421725239,0.0575079872204472,0.0222843450479233,1.5318690095846643,0.0,1.7971246006389776,0.0,0.1437699680511182,0.1437699680511182,James Justin,James,Justin,£4.1,DEF,1.7971246006389776,3.0991558716340624
James Maddison,261,9,9,520,4,970.0,5.53,14.03,8.5,47.16,54,10,252.9,785.4,2479,0,1,0,0,0,761527.0,28,769.0,135,4775955,4501411,10,30,£8.0,£7.8,£-0.2,274544,27.544444444444444,0.2007664380798709,0.509358612343687,0.3085921742638161,1.7121419927390076,0.3630496167809601,1.9604679306171844,0.0,0.326744655102864,0.326744655102864,James Maddison,James,Maddison,£7.8,MID,1.9604679306171844,4.470371117386042
James Milner,274,1,0,187,3,207.2,1.63,2.03,0.4,13.56,12,0,47.2,172.8,889,0,0,0,0,0,81260.0,7,92.0,42,149858,183143,2,31,£4.5,£4.4,£-0.1,-33285,9.877777777777778,0.1650168728908886,0.205511811023622,0.0404949381327334,1.3727784026996626,0.0,1.2148481439820022,0.0,0.1012373453318335,0.0,James Milner,James,Milner,£4.4,MID,1.2148481439820022,2.500618672665917
James Tarkowski,199,1,13,632,9,184.7,1.89,4.86,2.97,67.45,57,1,164.2,1019.6,3420,0,0,0,0,0,329444.0,38,435.0,106,2154132,1072872,6,38,£4.5,£4.1,£-0.4,1081260,38.0,0.0497368421052631,0.1278947368421052,0.0781578947368421,1.775,0.0263157894736842,1.5,0.0,0.0263157894736842,0.3421052631578947,James Tarkowski,James,Tarkowski,£4.1,DEF,1.5,3.2127272192958003
James Ward-Prowse,407,4,18,747,4,1162.9,5.3,11.16,5.859999999999999,60.71,72,9,236.3,880.4,3371,1,2,0,0,0,680393.0,38,319.0,142,1419793,1735124,6,38,£6.5,£6.1,£-0.4,-315331,37.45555555555556,0.1415010382675763,0.2979531296351231,0.1564520913675467,1.6208543458914269,0.2402847819638089,1.922278255710472,0.0,0.1067932364283595,0.4805695639276179,James Ward-Prowse,James,Ward-Prowse,£6.1,MID,1.9222782557104716,3.3642835953722927
