player,element,assists,bonus,bps,clean_sheets,creativity,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,goals_conceded,goals_scored,ict_index,influence,minutes,own_goals,penalties_missed,penalties_saved,red_cards,saves,selected,starts,threat,total_points,transfers_in,transfers_out,yellow_cards,Involved,price_start,price_end,profit_or_loss,Net Transfers,90s completed,expected_assists_per90,expected_goal_involvements_per90,expected_goals_per90,expected_goals_conceded_per90,goals_per_90,goals_conceded_per_90,saves_per_90,assists_per_90,bonus_points_per_90,full_name,first_name,second_name,now_cost,element_type,goals_conceded_per90,projected_points_per_90
Jordan Pickford,182,1,10,666,8,23.0,0.35,0.35,0.0,66.41,57,0,101.3,991.2,3330,0,0,1,0,124,614555.0,37,0.0,124,1072672,924042,6,37,£4.5,£4.4,£-0.1,148630,37.0,0.0094594594594594,0.0094594594594594,0.0,1.7948648648648649,0.0,1.5405405405405406,3.351351351351352,0.027027027027027,0.2702702702702703,Jordan Pickford,Jordan,Pickford,£4.4,GK,1.5405405405405406,2.8155600388972357
Jordan Zemura,76,1,1,235,5,232.8,1.7100000000000002,2.18,0.47,27.57,31,0,57.1,269.4,1452,0,0,0,0,0,16533.0,17,71.0,47,41130,47196,1,19,£4.5,£4.2,£-0.3,-6066,16.133333333333333,0.1059917355371901,0.1351239669421488,0.0291322314049586,1.7088842975206613,0.0,1.9214876033057853,0.0,0.0619834710743801,0.0619834710743801,Jordan Zemura,Jordan,Zemura,£4.2,DEF,1.9214876033057853,2.9942729619497452
Jorge Luiz Frello Filho,130,2,5,379,9,254.1,0.96,2.85,1.89,24.41,23,2,73.9,386.4,2127,0,0,0,0,0,252643.0,24,97.0,79,462260,543521,4,32,£6.0,£5.7,£-0.3,-81261,23.633333333333333,0.0406205923836389,0.120592383638928,0.0799717912552891,1.0328631875881524,0.0846262341325811,0.9732016925246828,0.0,0.0846262341325811,0.2115655853314527,Jorge Luiz Frello Filho,Jorge Luiz,Frello Filho,£5.7,MID,0.9732016925246827,2.599365303244005
Joseph Gomez,286,0,8,337,8,43.7,0.67,0.87,0.2,25.28,16,0,36.9,297.8,1461,0,0,0,0,0,126916.0,15,27.0,68,675660,579242,3,21,£4.5,£4.3,£-0.2,96418,16.233333333333334,0.0412731006160164,0.0535934291581108,0.0123203285420944,1.5572895277207393,0.0,0.9856262833675564,0.0,0.0,0.4928131416837782,Joseph Gomez,Joseph,Gomez,£4.3,DEF,0.9856262833675564,3.2666943029014686
Josh Dasilva,83,2,3,274,5,206.1,1.62,3.2,1.58,17.89,17,4,69.2,304.2,1371,0,0,0,0,0,514891.0,14,182.0,81,1964682,1715792,1,36,£4.5,£4.1,£-0.4,248890,15.233333333333333,0.1063457330415755,0.2100656455142232,0.1037199124726477,1.174398249452954,0.262582056892779,1.1159737417943107,0.0,0.1312910284463895,0.1969365426695842,Josh Dasilva,Josh,Dasilva,£4.1,MID,1.1159737417943107,3.272210065645514
José Malheiro de Sá,478,0,18,683,11,0.0,0.0,0.0,0.0,54.63,55,0,84.7,845.6,3240,0,0,2,0,108,600162.0,36,0.0,148,1097336,998496,2,36,£5.0,£5.0,£0.0,98840,36.0,0.0,0.0,0.0,1.5175,0.0,1.5277777777777777,3.0,0.0,0.5,José Malheiro de Sá,José,Malheiro de Sá,£5.0,GK,1.5277777777777777,2.872553486908422
João Cancelo,306,2,10,304,6,266.4,1.53,2.3600000000000003,0.8300000000000001,13.34,16,2,81.2,277.0,1273,0,0,0,1,0,3766542.0,16,276.0,73,3529232,7355879,3,17,£7.0,£7.1,£0.1,-3826647,14.144444444444444,0.1081696779261586,0.1668499607227023,0.0586802827965436,0.9431264728986646,0.1413982717989002,1.131186174391202,0.0,0.1413982717989002,0.7069913589945012,João Cancelo,João,Cancelo,£7.1,DEF,1.131186174391202,4.398705118378345
João Filipe Iria Santos Moutinho,503,2,0,297,6,537.7,1.93,3.23,1.3,27.86,28,0,99.2,309.8,1773,0,0,0,0,0,49441.0,20,142.0,56,39533,173728,3,31,£5.0,£4.6,£-0.4,-134195,19.7,0.0979695431472081,0.1639593908629441,0.065989847715736,1.4142131979695431,0.0,1.4213197969543148,0.0,0.1015228426395939,0.0,João Filipe Iria Santos Moutinho,João Filipe Iria,Santos Moutinho,£4.6,MID,1.4213197969543148,2.464213197969543
João Félix Sequeira,690,0,7,126,2,135.2,0.99,5.6,4.62,14.18,16,4,61.9,203.6,936,0,0,0,1,0,231677.0,11,287.0,44,1061955,709101,1,16,£7.5,£7.1,£-0.4,352854,10.4,0.0951923076923076,0.5384615384615384,0.4442307692307692,1.3634615384615385,0.3846153846153846,1.5384615384615383,0.0,0.0,0.673076923076923,João Félix Sequeira,João,Félix Sequeira,£7.1,FWD,1.5384615384615383,3.800480769230769
João Palhinha Gonçalves,220,0,5,379,9,141.8,0.39,3.32,2.93,56.38,43,3,104.2,560.4,3108,1,0,0,0,0,30762.0,35,336.0,83,106475,87429,14,35,£5.0,£4.9,£-0.1,19046,34.53333333333333,0.0112934362934362,0.0961389961389961,0.0848455598455598,1.632625482625483,0.0868725868725868,1.2451737451737452,0.0,0.0,0.1447876447876448,João Palhinha Gonçalves,João,Palhinha Gonçalves,£4.9,MID,1.2451737451737452,2.4462355212355207
João Victor Gomes da Silva,721,0,2,84,2,72.0,0.11,0.41,0.3,14.35,18,1,24.9,133.0,649,0,0,0,0,0,3417.0,7,46.0,21,13798,10878,5,11,£4.5,£4.5,£0.0,2920,7.211111111111111,0.0152542372881355,0.0568567026194144,0.0416024653312789,1.989984591679507,0.1386748844375963,2.4961479198767336,0.0,0.0,0.2773497688751926,João Victor Gomes da Silva,João Victor,Gomes da Silva,£4.5,MID,2.4961479198767336,2.4735747303543913
Joël Veltman,109,1,6,447,10,200.8,1.02,2.74,1.72,27.53,29,1,77.2,406.2,2183,0,0,0,0,0,349904.0,25,162.0,95,1351186,905937,6,31,£4.5,£4.6,£0.1,445249,24.25555555555556,0.0420522217132386,0.112963811268896,0.0709115895556573,1.1349977095739807,0.0412276683463124,1.19560238204306,0.0,0.0412276683463124,0.2473660100778744,Joël Veltman,Joël,Veltman,£4.6,DEF,1.19560238204306,3.7092266551827984
Julio Enciso,125,3,7,189,4,161.0,1.18,5.11,3.93,14.76,12,4,78.5,255.8,794,0,0,0,0,0,71213.0,7,370.0,57,549223,165244,1,20,£5.0,£4.6,£-0.4,383979,8.822222222222223,0.1337531486146095,0.5792191435768262,0.4454659949622166,1.6730478589420654,0.4534005037783375,1.3602015113350123,0.0,0.3400503778337531,0.7934508816120907,Julio Enciso,Julio,Enciso,£4.6,FWD,1.3602015113350125,4.508438287153652
Julián Álvarez,319,3,14,393,5,271.1,1.63,8.42,6.79,17.14,16,9,124.7,430.8,1448,0,0,0,0,0,239565.0,13,545.0,103,1777473,838131,0,31,£6.5,£6.1,£-0.4,939342,16.08888888888889,0.1013121546961326,0.5233425414364641,0.4220303867403315,1.0653314917127072,0.5593922651933702,0.994475138121547,0.0,0.18646408839779,0.8701657458563536,Julián Álvarez,Julián,Álvarez,£6.1,FWD,0.994475138121547,4.394509668508287
Junior Firpo Adames,239,2,3,187,1,123.4,0.75,0.8700000000000001,0.12,29.81,33,1,45.0,286.0,1364,0,0,0,1,0,4982.0,14,41.0,30,21330,17574,5,19,£4.5,£4.5,£0.0,3756,15.155555555555557,0.0494868035190615,0.0574046920821114,0.0079178885630498,1.966935483870968,0.0659824046920821,2.17741935483871,0.0,0.1319648093841642,0.1979472140762463,Junior Firpo Adames,Junior,Firpo Adames,£4.5,DEF,2.17741935483871,3.000315313048088
Kai Havertz,145,1,13,301,9,513.3,2.75,14.33,11.58,38.25,31,7,199.3,470.2,2565,0,0,0,0,0,421325.0,30,1012.0,102,1940205,1729331,5,35,£8.0,£7.4,£-0.6,210874,28.5,0.0964912280701754,0.5028070175438597,0.4063157894736842,1.3421052631578947,0.2456140350877192,1.087719298245614,0.0,0.0350877192982456,0.4561403508771929,Kai Havertz,Kai,Havertz,£7.4,FWD,1.087719298245614,3.501228070175438
Kalidou Koulibaly,520,1,8,408,6,104.1,0.43,1.31,0.88,22.43,22,2,74.5,497.4,1798,0,0,0,1,0,745993.0,20,141.0,74,1167393,1667048,5,23,£5.5,£5.5,£0.0,-499655,19.97777777777777,0.021523915461624,0.0655728587319243,0.0440489432703003,1.1227474972191325,0.100111234705228,1.1012235817575082,0.0,0.050055617352614,0.4004449388209121,Kalidou Koulibaly,Kalidou,Koulibaly,£5.5,DEF,1.1012235817575082,3.855547053065198
Kamaldeen Sulemana,731,1,3,133,3,175.5,1.01,2.77,1.76,18.24,20,2,44.5,105.2,959,0,0,0,0,0,1427.0,10,164.0,45,3881,3098,1,18,£5.0,£4.9,£-0.1,783,10.655555555555557,0.094786235662148,0.2599582898852972,0.1651720542231491,1.7117831074035452,0.1876955161626694,1.8769551616266944,0.0,0.0938477580813347,0.2815432742440041,Kamaldeen Sulemana,Kamaldeen,Sulemana,£4.9,MID,1.8769551616266946,3.16511991657977
Kaoru Mitoma,124,9,11,457,8,567.6,4.93,13.22,8.29,35.52,35,7,198.9,566.8,2311,0,0,0,0,0,1380804.0,24,857.0,138,6508155,1153598,0,33,£5.0,£5.7,£0.7,5354557,25.677777777777777,0.1919948074426655,0.5148420597144094,0.3228472522717438,1.3832972739073996,0.2726092600605798,1.3630463003028992,0.0,0.3504976200778883,0.4283859800951969,Kaoru Mitoma,Kaoru,Mitoma,£5.7,MID,1.3630463003028992,4.30237992211164
Kelechi Iheanacho,262,5,9,237,1,228.9,1.5599999999999998,8.42,6.86,22.43,23,5,95.7,306.6,1112,0,0,0,0,0,90819.0,11,437.0,82,388328,423547,0,28,£6.5,£5.8,£-0.7,-35219,12.355555555555556,0.1262589928057553,0.6814748201438848,0.5552158273381295,1.8153776978417264,0.4046762589928057,1.8615107913669064,0.0,0.4046762589928057,0.7284172661870504,Kelechi Iheanacho,Kelechi,Iheanacho,£5.8,FWD,1.8615107913669064,4.7161870503597125
Kenny Tete,215,5,1,484,7,385.6,1.9,2.64,0.74,46.78,36,1,111.6,617.8,2569,0,0,0,0,0,44399.0,29,110.0,90,181678,143198,8,31,£4.5,£4.4,£-0.1,38480,28.544444444444444,0.0665628649279875,0.0924873491630984,0.0259244842351109,1.6388478007006615,0.0350330868042039,1.261191124951343,0.0,0.1751654340210198,0.0350330868042039,Kenny Tete,Kenny,Tete,£4.4,DEF,1.261191124951343,3.500505231585623
Kepa Arrizabalaga,133,0,15,575,9,0.1,0.0,0.0,0.0,38.34,33,0,70.6,706.2,2565,0,0,0,0,91,612131.0,29,0.0,118,2149815,1355056,1,29,£4.5,£4.5,£0.0,794759,28.5,0.0,0.0,0.0,1.345263157894737,0.0,1.1578947368421053,3.192982456140351,0.0,0.5263157894736842,Kepa Arrizabalaga,Kepa,Arrizabalaga,£4.5,GK,1.1578947368421053,3.149236001566682
Kevin De Bruyne,301,18,26,742,10,1476.7,13.69,19.03,5.34,19.88,23,7,297.6,897.8000000000001,2413,0,0,0,0,0,3312929.0,28,598.0,183,8088109,5897355,1,32,£12.0,£12.1,£0.1,2190754,26.81111111111111,0.5106092001657687,0.7097803564028181,0.1991711562370493,0.7414836303356818,0.2610857853294654,0.8578532946539578,0.0,0.6713634479900539,0.9697472026523,Kevin De Bruyne,Kevin,De Bruyne,£12.1,MID,0.8578532946539578,4.92360132615002
Kevin Schade,688,1,0,76,3,110.4,0.6699999999999999,2.74,2.07,7.18,7,0,38.7,72.2,723,0,0,0,0,0,558.0,7,205.0,29,1850,1207,2,18,£5.0,£4.9,£-0.1,643,8.033333333333333,0.083402489626556,0.3410788381742738,0.2576763485477178,0.8937759336099584,0.0,0.8713692946058091,0.0,0.1244813278008298,0.0,Kevin Schade,Kevin,Schade,£4.9,MID,0.8713692946058091,2.956016597510373
Keylor Navas,729,0,5,273,2,0.0,0.01,0.01,0.0,33.0,32,0,38.7,387.6,1530,0,0,0,0,51,96164.0,17,0.0,43,208329,111800,2,17,£4.5,£4.5,£0.0,96529,17.0,0.0005882352941176,0.0005882352941176,0.0,1.9411764705882355,0.0,1.8823529411764703,3.0,0.0,0.2941176470588235,Keylor Navas,Keylor,Navas,£4.5,GK,1.8823529411764706,2.5924153089313284
Kieffer Moore,62,0,3,161,3,89.60000000000001,0.5,4.68,4.180000000000001,25.51,34,4,57.3,216.2,1269,0,0,0,0,0,98976.0,12,272.0,57,438337,421048,1,27,£5.5,£4.9,£-0.6,17289,14.1,0.0354609929078014,0.3319148936170212,0.2964539007092199,1.8092198581560288,0.2836879432624113,2.4113475177304964,0.0,0.0,0.2127659574468085,Kieffer Moore,Kieffer,Moore,£4.9,FWD,2.4113475177304964,3.213475177304965
Kieran Tierney,8,1,0,164,1,85.5,0.43,0.81,0.38,10.9,10,0,29.9,144.0,774,0,0,0,0,0,87510.0,6,67.0,37,94483,147522,0,27,£5.0,£4.6,£-0.4,-53039,8.6,0.05,0.0941860465116279,0.0441860465116279,1.2674418604651163,0.0,1.162790697674419,0.0,0.1162790697674418,0.0,Kieran Tierney,Kieran,Tierney,£4.6,DEF,1.1627906976744187,3.570303750655686
Kieran Trippier,357,9,39,941,16,1818.5,12.03,12.88,0.85,38.41,31,1,284.3,904.8,3342,1,0,0,0,0,6326856.0,38,117.0,198,7120294,2617724,5,38,£5.0,£6.0,£1.0,4502570,37.13333333333333,0.323967684021544,0.3468581687612208,0.0228904847396768,1.0343806104129265,0.0269299820466786,0.8348294434470377,0.0,0.2423698384201077,1.0502692998204668,Kieran Trippier,Kieran,Trippier,£6.0,DEF,0.8348294434470377,4.577757604982514
Kiernan Dewsbury-Hall,266,3,5,347,7,527.7,2.62,4.79,2.17,40.23,41,2,121.0,446.6,2305,0,0,0,1,0,93882.0,28,233.0,82,315977,361998,3,31,£5.0,£4.9,£-0.1,-46021,25.61111111111111,0.1022993492407809,0.1870281995661605,0.0847288503253796,1.5708026030368762,0.0780911062906724,1.6008676789587852,0.0,0.1171366594360086,0.1952277657266811,Kiernan Dewsbury-Hall,Kiernan,Dewsbury-Hall,£4.9,MID,1.6008676789587852,2.7362039045553144
Konstantinos Tsimikas,292,4,2,216,4,281.7,1.3,1.98,0.68,14.45,11,0,58.5,177.6,762,0,0,0,0,0,32041.0,9,124.0,48,131766,121509,3,20,£4.5,£4.3,£-0.2,10257,8.466666666666667,0.1535433070866141,0.2338582677165354,0.0803149606299212,1.7066929133858268,0.0,1.2992125984251968,0.0,0.4724409448818897,0.2362204724409448,Konstantinos Tsimikas,Konstantinos,Tsimikas,£4.3,DEF,1.2992125984251968,4.088344042048026
Kristoffer Ajer,84,0,0,129,4,24.700000000000003,0.12,0.16,0.04,11.34,14,0,15.1,96.8,763,0,0,0,0,0,8609.0,9,27.0,29,24982,24358,0,9,£4.5,£4.5,£0.0,624,8.477777777777778,0.0141546526867627,0.018872870249017,0.0047182175622542,1.3376146788990826,0.0,1.651376146788991,0.0,0.0,0.0,Kristoffer Ajer,Kristoffer,Ajer,£4.5,DEF,1.651376146788991,2.9439002349427588
Kurt Zouma,461,1,8,385,7,18.7,0.11,2.07,1.96,27.88,29,2,67.4,415.0,1988,0,0,0,0,0,158008.0,24,239.0,88,469403,451034,0,25,£4.5,£4.4,£-0.1,18369,22.08888888888889,0.0049798792756539,0.0937122736418511,0.0887323943661971,1.2621730382293763,0.090543259557344,1.312877263581489,0.0,0.045271629778672,0.3621730382293762,Kurt Zouma,Kurt,Zouma,£4.4,DEF,1.312877263581489,3.7173704922658897
Kyle Walker,299,0,0,376,7,176.2,1.32,1.71,0.39,20.07,20,0,43.8,223.8,1953,0,0,0,0,0,583321.0,22,39.0,69,1554447,1754518,3,27,£5.0,£4.7,£-0.3,-200071,21.7,0.0608294930875576,0.0788018433179723,0.0179723502304147,0.9248847926267282,0.0,0.9216589861751152,0.0,0.0,0.0,Kyle Walker,Kyle,Walker,£4.7,DEF,0.9216589861751152,3.7340324036437393
Kyle Walker-Peters,409,0,2,335,3,277.9,2.5,3.58,1.08,51.26,58,1,87.9,403.4,2650,0,0,0,0,0,94575.0,30,198.0,56,158567,219731,4,31,£4.5,£4.4,£-0.1,-61164,29.444444444444443,0.0849056603773585,0.1215849056603773,0.0366792452830188,1.7409056603773585,0.0339622641509433,1.969811320754717,0.0,0.0,0.0679245283018867,Kyle Walker-Peters,Kyle,Walker-Peters,£4.4,DEF,1.969811320754717,2.9689723829032406
Leander Dendoncker,479,0,0,163,4,96.1,0.14,0.86,0.72,14.68,14,0,30.6,143.4,897,0,0,0,0,0,8717.0,9,64.0,37,9258,18770,0,24,£5.0,£4.7,£-0.3,-9512,9.966666666666669,0.0140468227424749,0.0862876254180602,0.0722408026755852,1.4729096989966557,0.0,1.4046822742474916,0.0,0.0,0.0,Leander Dendoncker,Leander,Dendoncker,£4.7,MID,1.4046822742474916,2.2016722408026754
Leandro Trossard,111,13,8,494,8,687.1,6.02,12.39,6.37,30.79,38,8,216.6,620.0,2237,0,0,0,0,0,1151545.0,26,859.0,154,4904350,4603796,1,36,£6.5,£6.6,£0.1,300554,24.855555555555554,0.2421993741618238,0.4984801072865445,0.2562807331247206,1.2387572641931155,0.3218596334376397,1.5288332588287887,0.0,0.5230219043361646,0.3218596334376397,Leandro Trossard,Leandro,Trossard,£6.6,MID,1.5288332588287887,4.593182834152883
Leon Bailey,45,5,6,242,8,439.1,4.77,10.11,5.34,35.15,32,4,130.1,334.2,1964,0,0,0,0,0,524750.0,26,532.0,100,1042070,2357916,4,33,£5.0,£4.3,£-0.7,-1315846,21.822222222222223,0.2185845213849287,0.4632892057026476,0.2447046843177189,1.610743380855397,0.1832993890020366,1.4663951120162932,0.0,0.2291242362525458,0.2749490835030549,Leon Bailey,Leon,Bailey,£4.3,MID,1.4663951120162932,3.7415733197556005
Levi Colwill,559,2,6,249,3,100.7,0.31,1.72,1.41,22.2,21,0,37.4,222.0,1218,0,0,0,0,0,9420.0,13,50.0,46,43801,24104,1,17,£4.5,£4.4,£-0.1,19697,13.533333333333331,0.0229064039408867,0.1270935960591133,0.1041871921182266,1.6403940886699506,0.0,1.5517241379310345,0.0,0.1477832512315271,0.4433497536945813,Levi Colwill,Levi,Colwill,£4.4,DEF,1.5517241379310345,3.380167971809035
Lewis Cook,67,2,1,280,3,352.5,2.3,2.54,0.24,32.09,39,0,71.2,313.0,1712,0,0,0,0,0,6826.0,18,45.0,51,10511,14558,4,28,£5.0,£4.9,£-0.1,-4047,19.022222222222226,0.120911214953271,0.1335280373831775,0.0126168224299065,1.6869742990654204,0.0,2.050233644859813,0.0,0.1051401869158878,0.0525700934579439,Lewis Cook,Lewis,Cook,£4.9,MID,2.050233644859813,2.370619158878504
Lewis Dunk,106,1,7,648,12,163.6,0.9,2.57,1.6700000000000002,46.43,50,1,102.4,661.4,3240,1,0,0,0,0,604680.0,36,198.0,112,2128569,1084584,4,36,£4.5,£4.8,£0.3,1043985,36.0,0.025,0.0713888888888888,0.0463888888888888,1.2897222222222222,0.0277777777777777,1.3888888888888888,0.0,0.0277777777777777,0.1944444444444444,Lewis Dunk,Lewis,Dunk,£4.8,DEF,1.3888888888888888,3.3510655998555867
Lewis Hall,661,0,3,118,1,174.3,1.46,2.29,0.83,13.29,11,0,40.7,113.2,653,0,0,0,0,0,1550.0,8,119.0,19,8474,4564,1,9,£4.5,£4.3,£-0.2,3910,7.2555555555555555,0.2012251148545176,0.3156202143950995,0.1143950995405819,1.8316998468606431,0.0,1.5160796324655437,0.0,0.0,0.4134762633996937,Lewis Hall,Lewis,Hall,£4.3,MID,1.5160796324655437,2.587825421133231
Lewis O'Brien,524,0,0,88,1,56.400000000000006,0.19,0.53,0.34,14.13,14,1,21.1,107.8,578,0,0,0,0,0,4626.0,6,47.0,22,5613,8874,2,13,£5.0,£4.7,£-0.3,-3261,6.422222222222223,0.0295847750865051,0.0825259515570934,0.0529411764705882,2.2001730103806225,0.1557093425605536,2.179930795847751,0.0,0.0,0.0,Lewis O'Brien,Lewis,O'Brien,£4.7,MID,2.179930795847751,2.566003460207612
Liam Cooper,221,0,1,238,2,65.2,0.31,1.21,0.9,26.08,32,1,51.7,309.8,1425,0,0,0,0,0,6395.0,16,145.0,31,14562,18383,5,18,£4.5,£4.4,£-0.1,-3821,15.833333333333334,0.019578947368421,0.0764210526315789,0.0568421052631578,1.647157894736842,0.0631578947368421,2.0210526315789474,0.0,0.0,0.0631578947368421,Liam Cooper,Liam,Cooper,£4.4,DEF,2.0210526315789474,3.03959324560412
Lisandro Martínez,533,0,6,481,9,110.4,1.02,1.48,0.4599999999999999,32.52,33,1,76.7,571.8,2113,0,0,0,0,0,616274.0,24,82.0,81,1411480,1156960,6,27,£4.5,£4.4,£-0.1,254520,23.47777777777777,0.0434453383814481,0.0630383341221012,0.0195929957406531,1.3851396119261714,0.0425934690014197,1.4055844770468529,0.0,0.0,0.2555608140085187,Lisandro Martínez,Lisandro,Martínez,£4.4,DEF,1.4055844770468529,3.242752483770131
Lloyd Kelly,73,2,5,372,5,97.7,0.7,0.87,0.17,35.92,38,0,52.1,394.0,2040,0,0,0,0,0,68850.0,23,26.0,60,125693,180542,3,23,£4.5,£4.3,£-0.2,-54849,22.666666666666668,0.0308823529411764,0.0383823529411764,0.0075,1.5847058823529412,0.0,1.676470588235294,0.0,0.088235294117647,0.2205882352941176,Lloyd Kelly,Lloyd,Kelly,£4.3,DEF,1.676470588235294,2.9852584895114
Lucas Digne,33,0,4,234,3,293.3,1.9,2.33,0.43,25.91,25,1,65.8,271.4,1492,1,0,0,0,0,177565.0,18,92.0,50,346378,625848,5,28,£5.0,£4.5,£-0.5,-279470,16.57777777777778,0.1146112600536192,0.1405495978552279,0.0259383378016085,1.562935656836461,0.0603217158176943,1.508042895442359,0.0,0.0,0.2412868632707774,Lucas Digne,Lucas,Digne,£4.5,DEF,1.508042895442359,3.292422718213392
Lucas Tolentino Coelho de Lima,603,5,8,395,6,446.5,2.62,7.010000000000001,4.39,33.84,39,4,142.0,496.8,2154,0,0,0,0,0,80818.0,27,473.0,98,381118,298549,5,28,£6.0,£5.9,£-0.1,82569,23.933333333333334,0.1094707520891365,0.2928969359331476,0.1834261838440111,1.4139275766016717,0.1671309192200557,1.6295264623955432,0.0,0.2089136490250696,0.3342618384401114,Lucas Tolentino Coelho de Lima,Lucas,Tolentino Coelho de Lima,£5.9,MID,1.6295264623955432,3.3539693593314763
Luis Díaz,293,2,7,166,4,176.7,1.32,3.8,2.48,11.99,11,4,80.1,236.2,991,0,0,0,0,0,1088163.0,11,388.0,62,2226395,3337522,2,17,£8.0,£7.8,£-0.2,-1111127,11.011111111111113,0.1198789101917255,0.3451059535822401,0.2252270433905146,1.0889001009081736,0.3632694248234107,0.9989909182643796,0.0,0.1816347124117053,0.6357214934409687,Luis Díaz,Luis,Díaz,£7.8,MID,0.9989909182643795,3.92351160443996
Luis Sinisterra Lucumí,508,0,6,173,0,157.70000000000002,0.88,4.69,3.81,18.12,23,5,70.6,242.8,863,0,0,0,1,0,33871.0,13,305.0,53,144452,156896,1,19,£6.5,£6.5,£0.0,-12444,9.588888888888889,0.0917728852838934,0.4891077636152955,0.3973348783314021,1.8896871378910776,0.5214368482039398,2.398609501738123,0.0,0.0,0.6257242178447278,Luis Sinisterra Lucumí,Luis,Sinisterra Lucumí,£6.5,MID,2.398609501738123,4.4345886442641955
Lukasz Fabianski,455,0,10,622,9,0.0,0.0,0.0,0.0,45.55,48,0,75.4,755.6,3111,0,0,1,0,109,131172.0,36,0.0,127,244225,253082,1,36,£5.0,£4.9,£-0.1,-8857,34.56666666666667,0.0,0.0,0.0,1.3177434908389585,0.0,1.3886210221793631,3.1533269045323045,0.0,0.2892960462873674,Lukasz Fabianski,Lukasz,Fabianski,£4.9,GK,1.3886210221793633,3.0343155734353466
Luke Ayling,222,1,4,336,3,209.3,2.24,5.17,2.93,42.12,48,2,92.8,451.8,2048,0,0,0,0,0,19168.0,22,264.0,59,108475,63507,3,29,£4.5,£4.5,£0.0,44968,22.75555555555556,0.0984374999999999,0.2271972656249999,0.128759765625,1.8509765625,0.087890625,2.109375,0.0,0.0439453125,0.17578125,Luke Ayling,Luke,Ayling,£4.5,DEF,2.109375,3.4203202970092987
Luke Shaw,332,4,20,626,12,547.7,2.9,3.99,1.09,37.85,35,1,124.2,572.8,2552,0,0,0,0,0,1399174.0,30,118.0,124,8293340,2740896,8,31,£5.0,£5.3,£0.3,5552444,28.355555555555554,0.1022727272727272,0.1407131661442006,0.0384404388714733,1.3348354231974924,0.0352664576802507,1.2343260188087777,0.0,0.1410658307210031,0.7053291536050157,Luke Shaw,Luke,Shaw,£5.3,DEF,1.2343260188087775,3.69459319534458
Luke Thomas,270,1,0,189,2,89.39999999999999,0.48,0.57,0.09,23.11,20,0,26.8,166.8,1068,1,0,0,0,0,12259.0,11,12.0,28,34714,32253,3,17,£4.5,£3.9,£-0.6,2461,11.866666666666667,0.0404494382022471,0.0480337078651685,0.0075842696629213,1.94747191011236,0.0,1.6853932584269662,0.0,0.0842696629213483,0.0,Luke Thomas,Luke,Thomas,£3.9,DEF,1.6853932584269662,2.865842914621132
Lyanco Silveira Neves Vojnovic,413,1,0,209,0,52.8,0.12,0.7,0.5800000000000001,23.36,26,1,45.0,281.6,1173,0,0,0,0,0,4847.0,11,114.0,29,4308,6550,4,21,£4.5,£4.4,£-0.1,-2242,13.033333333333331,0.0092071611253196,0.0537084398976982,0.0445012787723785,1.7923273657289005,0.0767263427109974,1.9948849104859327,0.0,0.0767263427109974,0.0,Lyanco Silveira Neves Vojnovic,Lyanco,Silveira Neves Vojnovic,£4.4,DEF,1.9948849104859334,3.097785826071299
Mads Roerslev Rasmussen,90,0,0,201,5,120.6,0.8200000000000001,1.1,0.28,17.669999999999998,12,0,33.4,167.6,1101,0,0,0,0,0,6745.0,12,46.0,48,12498,13141,0,20,£4.5,£4.3,£-0.2,-643,12.233333333333333,0.0670299727520436,0.0899182561307901,0.0228882833787466,1.4444141689373295,0.0,0.9809264305177112,0.0,0.0,0.0,Mads Roerslev Rasmussen,Mads,Roerslev Rasmussen,£4.3,DEF,0.9809264305177112,3.390905378460219
Manor Solomon,562,0,1,156,0,86.0,0.78,1.99,1.21,12.18,11,4,40.8,214.8,560,0,0,0,0,0,7914.0,4,107.0,44,48286,37583,0,19,£5.0,£4.9,£-0.1,10703,6.222222222222222,0.1253571428571428,0.3198214285714286,0.1944642857142857,1.9575,0.6428571428571428,1.7678571428571428,0.0,0.0,0.1607142857142857,Manor Solomon,Manor,Solomon,£4.9,MID,1.7678571428571428,4.281339285714285
Manuel Akanji,610,1,5,460,7,146.5,0.99,2.13,1.14,21.7,23,0,71.4,385.6,2284,0,0,0,0,0,251445.0,24,180.0,82,1419834,676612,2,29,£5.0,£5.1,£0.1,743222,25.377777777777776,0.0390105078809106,0.0839316987740805,0.0449211908931698,0.8550788091068301,0.0,0.90630472854641,0.0,0.0394045534150613,0.1970227670753065,Manuel Akanji,Manuel,Akanji,£5.1,DEF,0.9063047285464099,3.9109143409260136
Marc Cucurella Saseta,112,2,1,363,6,232.5,0.96,1.34,0.38,26.03,20,0,65.9,354.4,1669,0,0,0,0,0,876700.0,21,72.0,65,2471789,2423782,4,24,£5.0,£4.9,£-0.1,48007,18.544444444444444,0.0517675254643499,0.0722588376273217,0.0204913121629718,1.4036548831635711,0.0,1.078490113840623,0.0,0.1078490113840623,0.0539245056920311,Marc Cucurella Saseta,Marc,Cucurella Saseta,£4.9,DEF,1.078490113840623,3.472510720578847
